ID,Name,Scores,1pt Goals,2pt Goals,Assists,Shots,Shot Pct,2pt Shots,2pt Shot Pct,Shots On Goal,Shots On Goal Pct,Turnovers,Caused Turnovers,Groundballs,Faceoff Pct,Faceoffs Won,Faceoffs Lost,Saves,Save Pct,Scores Against,Scores Against Avg,Penalties,Penalty Minutes,Power Play Pct,Power Play Goals,Power Play Shots,2pt Goals Against,Penalty Kill Pct,Penalty Kills
8,Chaos,130,106,12,67,382,30.9,57,21.1,234,61.3,144,63,272,47.3,133,148,156,55.5,128,12.8,33,18,47.8,11,8,3,69,20 - 29
4,Chrome,127,113,7,61,415,28.9,45,15.6,246,59.3,139,68,329,50.9,142,137,129,50.8,137,13.7,29,16,20,3,7,12,56,14 - 25
3,Atlas,125,109,8,73,402,29.1,64,12.5,248,61.7,124,50,286,61.6,167,104,140,53.4,132,13.2,42,27,43.5,10,9,10,70,21 - 30
5,Whipsnakes,125,101,12,71,442,25.6,62,19.4,246,55.7,97,54,262,52.1,134,123,133,55,116,11.6,24,13,26.3,5,7,7,63.6,14 - 22
6,Redwoods,116,112,2,61,435,26.2,42,4.8,252,57.9,122,65,256,41.9,106,147,117,52.2,117,11.7,19,28,35.3,12,20,10,64.3,9 - 14
1,Archers,112,100,6,67,438,24.2,42,14.3,257,58.7,130,54,266,45.7,111,132,126,55.5,106,10.6,24,16,51.9,14,9,5,71.4,15 - 21
