ID,Name,Scores,1pt Goals,2pt Goals,Assists,Shots,Shot Pct,2pt Shots,2pt Shot Pct,Shots On Goal,Shots On Goal Pct,Turnovers,Caused Turnovers,Groundballs,Faceoff Pct,Faceoffs Won,Faceoffs Lost,Saves,Save Pct,Scores Against,Scores Against Avg,Penalties,Penalty Minutes,Power Play Pct,Power Play Goals,Power Play Shots,2pt Goals Against,Penalty Kill Pct,Penalty Kills
10,Long Island Lizards,211,201,5,102,663,31.1,0,0,434,65.5,0,0,496,69.1,289,129,213,56.1,182,13,0,70,0,11,0,15,0,0 - 0
17,Ohio Machine,204,186,9,112,679,28.7,0,0,405,59.6,0,0,402,49.9,203,204,219,56.2,175,12.5,0,41.5,0,13,0,4,0,0 - 0
9,Denver Outlaws,202,194,4,106,613,32.3,0,0,387,63.1,0,0,523,50.6,224,219,177,46.6,214,15.3,0,43.5,0,16,0,11,0,0 - 0
16,Boston Cannons,200,168,16,85,689,26.7,0,0,415,60.2,0,0,475,47.9,196,213,237,56.4,188,13.4,0,29,0,15,0,5,0,0 - 0
11,Rochester Rattlers,192,178,7,89,609,30.4,0,0,409,67.2,0,0,483,48.2,202,217,200,51.9,192,13.7,0,39,0,8,0,7,0,0 - 0
14,Florida Launch,189,175,7,85,609,29.9,0,0,373,61.2,0,0,429,47.9,205,223,251,56,202,14.4,0,44.5,0,21,0,5,0,0 - 0
15,Chesapeake Bayhawks,172,170,1,104,590,29,0,0,389,65.9,0,0,379,34.7,136,256,257,60.2,176,12.6,0,40,0,9,0,6,0,0 - 0
12,Charlotte Hounds,169,151,9,73,666,24,0,0,414,62.2,0,0,450,50.5,208,204,192,48.4,210,15,0,50,0,14,0,5,0,0 - 0
