ID,Name,Scores,1pt Goals,2pt Goals,Assists,Shots,Shot Pct,2pt Shots,2pt Shot Pct,Shots On Goal,Shots On Goal Pct,Turnovers,Caused Turnovers,Groundballs,Faceoff Pct,Faceoffs Won,Faceoffs Lost,Saves,Save Pct,Scores Against,Scores Against Avg,Penalties,Penalty Minutes,Power Play Pct,Power Play Goals,Power Play Shots,2pt Goals Against,Penalty Kill Pct,Penalty Kills
3,Atlas,120,98,11,57,392,27.8,56,19.6,248,63.3,150,96,349,62.3,154,93,102,49.8,108,12,13,9.5,23.1,3,9,5,75,9-12
1,Archers,119,111,4,70,364,31.6,33,12.1,232,63.7,148,79,306,43.8,103,132,130,60.2,95,10.6,17,13.5,52.6,10,23,9,69.2,9-13
2,Waterdogs,111,95,8,54,371,27.8,43,18.6,216,58.2,162,94,330,52.2,118,108,97,51.9,98,10.9,13,10.5,19.2,5,35,8,66.7,8-12
7,Cannons,110,102,4,52,320,33.1,28,14.3,223,69.7,133,91,300,35.8,92,165,140,54.9,120,13.3,30,38,28.6,4,13,5,60,15-25
6,Redwoods,110,94,8,54,354,28.8,36,22.2,218,61.6,155,63,296,59.5,141,96,135,56.7,106,11.8,23,17,58.8,10,19,3,81,17-21
5,Whipsnakes,102,92,5,47,426,22.8,55,9.1,252,59.2,151,69,369,55.8,134,106,99,48.1,113,12.6,13,11.5,53.8,7,24,6,50,6-12
8,Chaos,96,78,9,56,306,28.4,60,15,192,62.7,156,82,298,43.8,95,112,149,60.8,105,11.7,25,31.5,23.1,3,12,9,50,9-18
4,Chrome,92,82,5,55,331,26.3,33,15.2,203,61.3,161,90,310,46.7,107,122,126,54.3,115,12.8,18,15,30.8,4,12,9,60,9-15
