ID,Name,Scores,1pt Goals,2pt Goals,Assists,Shots,Shot Pct,2pt Shots,2pt Shot Pct,Shots On Goal,Shots On Goal Pct,Turnovers,Caused Turnovers,Groundballs,Faceoff Pct,Faceoffs Won,Faceoffs Lost,Saves,Save Pct,Scores Against,Scores Against Avg,Penalties,Penalty Minutes,Power Play Pct,Power Play Goals,Power Play Shots,2pt Goals Against,Penalty Kill Pct,Penalty Kills
17,Ohio Machine,206,194,6,96,622,32.2,0,0,402,64.6,0,0,397,49.4,216,221,186,49.6,193,13.8,0,39.5,0,17,0,4,0,0 - 0
9,Denver Outlaws,196,180,8,111,582,32.3,0,0,377,64.8,0,0,369,47.3,196,218,216,55.1,182,13,0,38.5,0,13,0,6,0,0 - 0
11,Rochester Rattlers,193,183,5,94,592,31.8,0,0,375,63.3,0,0,469,48.6,196,207,201,55.5,165,11.8,0,44.5,0,13,0,4,0,0 - 0
16,Boston Cannons,189,185,2,100,616,30.4,0,0,380,61.7,0,0,410,54.5,231,193,200,51.9,192,13.7,0,40,0,18,0,7,0,0 - 0
10,Long Island Lizards,183,171,6,71,619,28.6,0,0,379,61.2,0,0,425,58.9,232,162,183,52.4,173,12.4,0,32,0,13,0,7,0,0 - 0
14,Florida Launch,174,170,2,99,563,30.6,0,0,346,61.5,0,0,399,48.4,202,215,193,50,199,14.2,0,48,0,15,0,6,0,0 - 0
15,Chesapeake Bayhawks,166,154,6,95,628,25.5,0,0,375,59.7,0,0,420,47,182,205,203,54,179,12.8,0,64.5,0,18,0,6,0,0 - 0
12,Charlotte Hounds,162,144,9,61,619,24.7,0,0,369,59.6,0,0,405,45.6,176,210,191,52,180,12.9,0,49,0,9,0,4,0,0 - 0
