ID,Name,Scores,1pt Goals,2pt Goals,Assists,Shots,Shot Pct,2pt Shots,2pt Shot Pct,Shots On Goal,Shots On Goal Pct,Turnovers,Caused Turnovers,Groundballs,Faceoff Pct,Faceoffs Won,Faceoffs Lost,Saves,Save Pct,Scores Against,Scores Against Avg,Penalties,Penalty Minutes,Power Play Pct,Power Play Goals,Power Play Shots,2pt Goals Against,Penalty Kill Pct,Penalty Kills
10,Long Island Lizards,230,206,12,97,674,32.3,0,0,450,66.8,215,69,570,56.2,278,217,212,49,230,16.4,0,60,0,19,0,9,0,0 - 0
17,Ohio Machine,216,202,7,116,671,31.1,0,0,413,61.5,214,114,516,49.5,220,224,186,50.4,188,13.4,0,64.5,0,15,0,5,0,0 - 0
9,Denver Outlaws,208,194,7,115,701,28.7,0,0,429,61.2,207,88,524,54.4,249,209,202,49.5,215,15.4,0,28.5,0,14,0,9,0,0 - 0
11,Rochester Rattlers,207,203,2,110,625,32.8,0,0,391,62.6,229,120,548,50.5,214,210,197,56.3,162,11.6,0,34.5,0,12,0,9,0,0 - 0
13,Atlanta Blaze,199,179,10,102,624,30.3,0,0,391,62.7,188,111,505,45.9,205,242,229,52.4,219,15.6,0,51,0,18,0,11,0,0 - 0
15,Chesapeake Bayhawks,197,183,7,108,625,30.4,0,0,383,61.3,229,100,515,44.1,191,242,220,53.9,192,13.7,0,39.5,0,18,0,4,0,0 - 0
12,Charlotte Hounds,194,186,4,103,676,28.1,0,0,420,62.1,188,109,493,49.9,215,216,195,51,192,13.7,0,31.5,0,11,0,5,0,0 - 0
16,Boston Cannons,190,168,11,90,644,27.8,0,0,396,61.5,235,96,550,55.7,231,184,215,54,186,13.3,0,29.5,0,8,0,3,0,0 - 0
14,Florida Launch,174,162,6,91,629,26.7,0,0,365,58,201,86,493,43.8,184,236,219,53.2,203,14.5,0,38.5,0,16,0,10,0,0 - 0
