ID,Name,Scores,1pt Goals,2pt Goals,Assists,Shots,Shot Pct,2pt Shots,2pt Shot Pct,Shots On Goal,Shots On Goal Pct,Turnovers,Caused Turnovers,Groundballs,Faceoff Pct,Faceoffs Won,Faceoffs Lost,Saves,Save Pct,Scores Against,Scores Against Avg,Penalties,Penalty Minutes,Power Play Pct,Power Play Goals,Power Play Shots,2pt Goals Against,Penalty Kill Pct,Penalty Kills
5,Whipsnakes,82,74,4,45,258,30.2,38,10.5,164,63.6,96,33,223,69.8,104,45,83,62.9,51,8.5,13,9.5,41.7,5,12,2,72.7,8-11
8,Chaos,70,64,3,32,255,26.3,38,7.9,157,61.6,102,52,179,35.3,59,108,119,61.3,78,11.1,18,14,40,4,9,3,46.7,7 - 15
1,Archers,64,62,1,35,213,29.6,27,3.7,143,67.1,91,41,167,48,72,78,72,52.6,68,11.3,11,8,30.8,4,18,3,50,4 - 8
4,Chrome,64,58,3,32,190,32.1,29,10.3,109,57.4,80,37,157,56.7,76,58,68,54.4,64,12.8,15,14,66.7,6,13,7,75,9 - 12
6,Redwoods,62,42,10,31,242,21.5,41,24.4,145,59.9,94,70,167,36.2,47,83,71,55.9,63,10.5,19,16,45,9,26,7,50,9 - 18
2,Waterdogs,47,37,5,22,186,22.6,30,16.7,117,62.9,80,51,157,56.3,63,49,57,52.8,53,10.6,10,8.5,28.6,4,15,2,57.1,4 - 7
3,Atlas,46,40,3,25,202,21.3,36,8.3,110,54.5,85,43,154,50,58,58,69,56.6,58,11.6,19,14.5,30,3,8,5,70.6,12 - 17
