ID,Name,Scores,1pt Goals,2pt Goals,Assists,Shots,Shot Pct,2pt Shots,2pt Shot Pct,Shots On Goal,Shots On Goal Pct,Turnovers,Caused Turnovers,Groundballs,Faceoff Pct,Faceoffs Won,Faceoffs Lost,Saves,Save Pct,Scores Against,Scores Against Avg,Penalties,Penalty Minutes,Power Play Pct,Power Play Goals,Power Play Shots,2pt Goals Against,Penalty Kill Pct,Penalty Kills
1,Archers,130,116,7,75,386,31.9,39,17.9,268,69.4,147,76,289,38.3,102,162,106,50.2,110,11,28,21.5,40.7,11,22,5,62.1,18-29
2,Waterdogs,130,114,8,73,440,27.7,43,18.6,275,62.5,150,78,314,41,119,167,119,48,133,13.3,24,15.5,38.1,8,22,4,40,8-20
3,Atlas,128,102,13,72,395,29.1,52,25,252,63.8,176,61,322,63.1,166,97,132,54.8,119,11.9,30,21.5,41.2,7,23,10,67.9,19-28
4,Chrome,120,114,3,70,371,31.5,19,15.8,245,66,168,71,33055.2,139,112,113,54.1,102,10.2,25,21.5,31,9,17,6,76.2,16-21
5,Whipsnakes,118,104,7,59,419,26.5,41,17.1,253,60.4,176,57,318,62.2,150,90,125,58.1,98,9.8,15,11.5,38.9,7,20,8,66.7,10-15
6,Redwoods,114,96,9,55,375,28,48,18.8,235,62.7,167,75,281,51.7,136,124,91,43.3,124,12.4,22,19,42.9,9,21,5,72.2,13-18
7,Cannons,111,107,2,55,394,27.7,29,6.9,253,64.2,161,64,301,45.9,129,152,132,49.8,140,14,27,19,13,3,23,7,61.5,16-26
8,Chaos,101,93,4,58,316,30.7,38,10.5,205,64.9,176,53,263,42.5,108,145,137,53.7,126,12.6,25,21,52.2,12,22,8,59.1,13-22
