ID,First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
33,Adam,Ghitelman,8,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,10,0.454545454545455,13,12.999999999999998,1,0,2880,0,0,0,0,0,0,,1
34,Drew,Adams,14,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
35,Grant,Ament,16,A,1,5,2,2,0,2,3,4,0.5,2,0.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
36,Jackson,Place,17,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
37,Austin,Sims,18,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
38,Mark,McNeill,21,SSDM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
39,Latrell,Harris,22,SSDM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
40,Dominique,Alexander,23,SSDM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
41,Stephen,Kelly,24,FO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19,7,12,0.3684210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
42,Tom,Schreiber,26,M,1,2,2,2,0,2,0,7,0.2857142857142857,4,0.5714285714285714,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
43,Warren,Jeffrey,27,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
44,Tre,Leclaire,44,A,1,1,1,1,0,1,0,8,0.125,5,0.625,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0
45,Matt,McMahon,77,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
46,Graeme,Hossack,81,D,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
47,Ryan,McNamara,88,M,5,5,5,5,0,5,0,17,0.29411764705882354,8,0.47058823529411764,2,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
48,Kyle,Pless,2,LSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
49,Daniel,Bucaro,4,M,2,0,0,0,0,0,0,13,0,6,0.46153846153846156,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
50,Romar,Dennis,5,M,2,1,1,1,0,1,0,7,0.14285714285714285,4,0.5714285714285714,4,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
51,Dox,Aitken,6,M,2,2,2,2,0,2,0,8,0.25,6,0.75,1,0,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
52,Jeff,Teat,7,A,2,7,5,5,0,5,2,10,0.5,8,0.8,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0
53,Brent,Adams,8,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
54,Trevor,Baptiste,9,FO,2,1,0,0,0,0,1,0,0,0,0,0,0,0,21,3,1,47,31,16,0.6595744680851063,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
55,JD,Colarusso,11,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,29,0.58,24,12.006253256904637,3,0,5757,0,0,0,0,0,0,,0
56,Jack,Concannon,12,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
57,Eric,Law,15,A,2,10,5,5,0,5,5,8,0.625,6,0.75,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
58,Gerard,Arceri,16,FO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
59,Austin,Pifani,17,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
60,Jake,Carraway,19,A,2,5,2,2,0,2,3,12,0.16666666666666666,4,0.3333333333333333,2,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0,,0
